-378.2712601	-403.5574178	60.50651769	553.9348231	826.9093731	-778.9013035	-918.2687772	-748.5301055
202.2731223	881.0415891	-755.8690255	247.83054	541.1464929	476.4400993	-136.7250155	-434.2594662
-330.4568591	103.505897	816.1899441	72.47734327	673.5282433	803.7101179	-35.37181875	489.1626319
375.3103662	-386.069522		-609.22036	-749.3960273	-132.4177529	-198.8684047	183.4574798
-680.2929857	-144.7821229	115.8075729	234.3767846	-580.8615767	612.4816884	-419.3370577	-455.3221601
-727.452514	235.5549348	-461.7392924	587.2520174	-300.9714463	626.5332092		-797.8895096
101.2160149	-604.1247672	-737.4276847	697.6070764	-401.6592179	-317.5338299	320.4103042	-569.7268777
-215.6275605	39.35319677	-210.7846058	-681.3010552	258.3351955	795.1297331	-386.1657356	-579.0471757
-142.1744258	263.3823712	440.8590937		-581.886406	-739.5766605	852.5040348	-860.5114836
620.4413408	-588.3891993	-106.877095		409.5952824	-204.9130975	243.9832402	-586.0273122
836.0459342	-458.4984482	112.8268156		-83.61204221	200.9428926	247.9764122	-234.9522036
-858.7361887	-512.4270639				-791.7368094	470.7616387	-420.2929857
87.94475481	-314.069522	621.9639975	-713.5642458	666.2427064	-376.3302297	-502.264432	-808.7436375
-209.5369336	756.7479826	217.19491	902.2253259	142.2017381	337.0167598	108.4922408	-1.865921788
578.4860335	-870.1440099	727.116077	-880.0620732	-21.3327126	-891.9944134	-186.0105525	-338.3320919
-447.0707635	575.3960273	-517.4909994	-85.86219739	711.7094972	-225.8696462	478.4897579	-76.4034761
-330.7281192	-96.28429547	-827.6232154			620.229671	-883.4934823	-332.2762259
-371.0595903	280.044072	-612.7591558			880.3507138	-879.0031037	-18.13904407
112.7020484	562.3538175	55.82805711	521.0111732	-389.5909373	7.65238982	850.0235878	-787.5530726
-836.8249534	272.1030416	-281.6256983	892.5090006	-260.9956549	-56.15704531	548.3873371	-190.7554314
